date,open,high,low,close,volume
2021-05-27,55.52,66.63,55.52,66.63,422892
2021-05-28,73.29,73.29,73.29,73.29,134536
2021-05-31,80.62,80.62,80.62,80.62,127548
2021-06-01,88.68,88.68,88.68,88.68,119255
2021-06-02,97.55,97.55,97.55,97.55,287202
2021-06-03,107.31,107.31,107.31,107.31,386773
2021-06-04,118.04,118.04,118.04,118.04,650135
2021-06-07,129.84,129.84,129.84,129.84,338884
2021-06-08,142.82,142.82,142.82,142.82,395591
2021-06-09,157.1,157.1,157.1,157.1,2244826
2021-06-10,172.81,172.81,172.81,172.81,960805
2021-06-11,190.09,190.09,190.09,190.09,827097
2021-06-15,209.1,209.1,209.1,209.1,6136164
2021-06-16,209.0,230.01,204.0,230.01,29261400
2021-06-17,215.0,245.45,210.01,241.5,13190781
2021-06-18,265.62,265.65,254.45,265.65,6039854
2021-06-21,260.22,264.77,246.0,257.56,5796677
2021-06-22,255.05,269.99,252.0,259.3,4809101
2021-06-23,249.0,258.19,241.2,254.6,5428412
2021-06-24,252.0,252.5,235.0,235.14,4383211
2021-06-25,235.14,243.16,231.55,235.0,4351890
2021-06-28,230.0,245.0,226.0,244.0,4416889
2021-06-29,242.06,268.4,240.0,268.4,5666481
2021-06-30,261.0,270.0,245.0,250.8,5555810
2021-07-01,247.0,258.8,240.01,250.0,3353441
2021-07-02,249.0,257.49,237.0,244.21,3289446
2021-07-05,244.0,263.0,237.18,258.22,3633557
2021-07-06,257.3,276.0,256.1,259.8,4739616
2021-07-07,262.19,285.7,262.19,285.0,5070841
2021-07-08,276.3,279.45,262.8,263.86,4699810
2021-07-09,260.0,262.37,248.0,257.67,3600422
2021-07-12,255.0,255.84,244.41,246.28,3791403
2021-07-13,247.5,260.01,245.18,249.99,4233300
2021-07-14,246.0,255.02,239.91,249.94,3039924
2021-07-15,239.98,245.3,235.0,242.6,4420721
2021-07-16,241.25,249.88,238.01,246.7,2328706
2021-07-19,244.98,249.15,222.2,240.0,4131862
2021-07-20,234.0,236.6,228.28,229.39,2213638
2021-07-21,229.5,232.35,214.14,219.0,6426678
2021-07-22,217.84,218.0,204.23,208.1,5088849
2021-07-23,205.21,210.06,198.88,203.94,3377526
2021-07-26,201.31,203.0,183.55,189.0,4421119
2021-07-27,189.15,197.91,185.23,185.4,3831991
2021-07-28,182.88,191.0,177.0,190.15,2873272
2021-07-29,193.0,205.8,192.3,205.59,4104050
2021-07-30,202.0,202.0,190.0,195.52,3118228
2021-08-02,191.26,207.0,185.0,201.4,3337112
2021-08-03,197.0,217.88,196.05,213.0,3626906
2021-08-04,212.0,221.0,206.0,210.07,2563433
2021-08-05,203.0,209.88,200.2,205.72,1776762
2021-08-06,200.95,205.41,200.05,201.09,1235551
2021-08-09,198.52,220.0,198.0,217.9,2800116
2021-08-10,215.0,235.0,214.0,233.0,3704561
2021-08-11,228.62,235.0,221.08,221.85,2676288
2021-08-12,220.0,226.58,209.0,211.01,2312735
2021-08-13,209.21,214.58,198.9,203.19,2463907
2021-08-16,201.0,214.98,200.0,207.9,1897916
2021-08-17,208.5,210.0,196.58,200.0,1594388
2021-08-18,199.97,204.24,197.8,199.59,1100430
2021-08-19,198.59,198.83,191.26,195.0,1600034
2021-08-20,194.39,197.02,185.01,190.79,1391834
2021-08-23,192.49,197.88,190.01,195.0,1140425
